Journ�e du 01/01/2021,,,
Heures,Pr�visionJ-1,Pr�visionJ,Consommation
00:00,67000,66800,66814
00:15,66500,66300,67092
00:30,66000,65800,65773
00:45,65150,64900,64624
01:00,64300,64000,64249
01:15,64600,64350,64384
01:30,64900,64700,64054
01:45,64600,64550,64076
02:00,64300,64400,63570
02:15,63700,63450,63757
02:30,63100,62500,62504
02:45,62150,61600,61891
03:00,61200,60700,60695
03:15,60600,60050,60207
03:30,60000,59400,59385
03:45,59300,58800,58764
04:00,58600,58200,58166
04:15,58150,57900,58012
04:30,57700,57600,57588
04:45,57550,57300,57280
05:00,57400,57000,57246
05:15,57450,57300,57588
05:30,57500,57600,57565
05:45,57500,57600,57644
06:00,57500,57600,57550
06:15,57700,58000,58335
06:30,57900,58400,58370
06:45,57900,58500,58483
07:00,57900,58600,58565
07:15,58050,58850,58716
07:30,58200,59100,59057
07:45,58400,59250,59122
08:00,58600,59400,59402
08:15,58600,59450,59177
08:30,58600,59500,59458
08:45,58700,59650,59633
09:00,58800,59800,59810
09:15,59300,60300,60135
09:30,59800,60800,60745
09:45,60500,61250,61333
10:00,61200,61700,61655
10:15,61700,62200,62379
10:30,62200,62700,62736
10:45,62650,63200,62950
11:00,63100,63700,63685
11:15,63500,63950,64109
11:30,63900,64200,64276
11:45,64550,65250,64793
12:00,65200,66300,65551
12:15,65550,66150,66101
12:30,65900,66000,66809
12:45,66700,66900,67802
13:00,67500,67800,67073
13:15,66200,66650,66365
13:30,64900,65500,65508
13:45,64200,64700,64554
14:00,63500,63900,63854
14:15,63050,63300,63502
14:30,62600,62700,62704
14:45,62000,62050,61993
15:00,61400,61400,61536
15:15,61300,61300,61365
15:30,61200,61200,61211
15:45,61100,61100,60868
16:00,61000,61000,60742
16:15,61150,61150,60924
16:30,61300,61300,60910
16:45,61900,61900,61238
17:00,62500,62500,62213
17:15,63800,63800,63140
17:30,65100,65100,64535
17:45,66050,66000,65747
18:00,67000,66900,66789
18:15,67550,67450,67436
18:30,68100,68000,68119
18:45,68750,68650,68654
19:00,69400,69300,69174
19:15,69600,69500,69544
19:30,69800,69700,69630
19:45,69700,69600,69467
20:00,69600,69500,69642
20:15,69150,69050,69198
20:30,68700,68600,68411
20:45,68150,68050,67951
21:00,67600,67500,67378
21:15,67100,66950,66950
21:30,66600,66400,66045
21:45,66100,65900,65699
22:00,65600,65400,65459
22:15,66150,65950,65633
22:30,66700,66500,66356
22:45,67900,67700,68429
23:00,69100,68900,68051
23:15,68700,68550,67903
23:30,68300,68200,67410
23:45,67750,67700,67861
,,,
,,,
Journ�e du 02/01/2021,,,
Heures,Pr�visionJ-1,Pr�visionJ,Consommation
00:00,67200,67200,67044
00:15,66250,66350,66843
00:30,65300,65500,65477
00:45,64300,64650,64228
01:00,63300,63800,63804
01:15,63550,64050,64079
01:30,63800,64300,63746
01:45,63650,64250,63830
02:00,63500,64200,63413
02:15,63000,63550,63910
02:30,62500,62900,62886
02:45,61750,62200,62215
03:00,61000,61500,61485
